BULAN;TAHUN;POTPUT;PPH;PPN;PPHOP;PPHBDN
0;2006;;;;25/03/2007;25/03/2007
1;2006;12/02/2006;15/02/2006;15/02/2006;;
2;2006;12/03/2006;15/03/2006;15/03/2006;;
3;2006;10/04/2006;16/04/2006;16/04/2006;;
4;2006;10/05/2006;15/05/2006;15/05/2006;;
5;2006;11/06/2006;15/06/2006;15/06/2006;;
6;2006;10/07/2006;16/07/2006;16/07/2006;;
7;2006;10/08/2006;15/08/2006;15/08/2006;;
8;2006;10/09/2006;17/09/2006;17/09/2006;;
9;2006;10/10/2006;17/10/2006;17/10/2006;;
10;2006;12/11/2006;15/11/2006;15/11/2006;;
11;2006;10/12/2006;17/12/2006;17/12/2006;;
12;2006;14/01/2006;15/01/2006;15/01/2006;;
0;2007;;;;25/03/2008;25/03/2008
1;2007;12/02/2007;15/02/2007;15/02/2007;;
2;2007;12/03/2007;15/03/2007;15/03/2007;;
3;2007;10/04/2007;16/04/2007;16/04/2007;;
4;2007;10/05/2007;15/05/2007;15/05/2007;;
5;2007;11/06/2007;15/06/2007;15/06/2007;;
6;2007;10/07/2007;16/07/2007;16/07/2007;;
7;2007;10/08/2007;15/08/2007;15/08/2007;;
8;2007;10/09/2007;17/09/2007;17/09/2007;;
9;2007;10/10/2007;17/10/2007;17/10/2007;;
10;2007;12/11/2007;15/11/2007;15/11/2007;;
11;2007;10/12/2007;17/12/2007;17/12/2007;;
12;2007;14/01/2008;15/01/2008;15/01/2008;;
0;2008;;;;31/03/2009;30/04/2009
1;2008;12/02/2008;15/02/2008;15/02/2008;;
2;2008;10/03/2008;17/03/2008;17/03/2008;;
3;2008;10/04/2008;15/04/2008;15/04/2008;;
4;2008;12/05/2008;15/05/2008;15/05/2008;;
5;2008;10/06/2008;16/06/2008;16/06/2008;;
6;2008;10/07/2008;15/07/2008;15/07/2008;;
7;2008;11/08/2008;15/08/2008;15/08/2008;;
8;2008;10/09/2008;15/09/2008;15/09/2008;;
9;2008;10/10/2008;15/10/2008;15/10/2008;;
10;2008;10/11/2008;17/11/2008;17/11/2008;;
11;2008;10/12/2008;15/12/2008;15/12/2008;;
12;2008;12/01/2009;15/01/2009;15/01/2009;;
0;2009;;;;31/03/2010;30/04/2010
1;2009;10/02/2009;16/02/2009;16/02/2009;;
2;2009;10/03/2009;16/03/2009;16/03/2009;;
3;2009;13/04/2009;15/04/2009;15/04/2009;;
4;2009;11/05/2009;15/05/2009;15/05/2009;;
5;2009;10/06/2009;15/06/2009;15/06/2009;;
6;2009;10/07/2009;15/07/2009;15/07/2009;;
7;2009;10/08/2009;18/08/2009;18/08/2009;;
8;2009;10/09/2009;15/09/2009;15/09/2009;;
