KODE;NAMA;SEKTOR
01111;PERTANIAN TANAMAN JAGUNG;A
01112;PERTANIAN TANAMAN GANDUM;A
01113;PERTANIAN TANAMAN KEDELAI;A
01114;PERTANIAN TANAMAN KACANG TANAH;A
01115;PERTANIAN TANAMAN KACANG HIJAU;A
01116;PERTANIAN TANAMAN KACANG-KACANGAN HORTIKULTURA;A
01117;PERTANIAN TANAMAN BIJI-BIJIAN PENGHASIL MINYAK MAKAN;A
01118;PERTANIAN TANAMAN BIJI-BIJIAN PENGHASIL BUKAN MINYAK MAKAN;A
01119;PERTANIAN TANAMAN SEREALIA LAINNYA, KACANG- KACANGAN DAN BIJI-BIJIAN PENGHASIL MINYAK LAINNYA;A
01120;PERTANIAN PADI;A
01131;PERTANIAN TANAMAN HORTIKULTURA SAYURAN DAUN;A
01132;PERTANIAN TANAMAN HORTIKULTURA BUAH;A
01133;PERTANIAN TANAMAN HORTIKULTURA SAYURAN BUAH;A
01134;PERTANIAN TANAMAN HORTIKULTURA SAYURAN UMBI;A
01135;PERTANIAN TANAMAN UMBI-UMBIAN PALAWIJA;A
01136;PERTANIAN TANAMAN JAMUR;A
01137;PERTANIAN TANAMAN BIT GULA DAN TANAMAN PEMANIS BUKAN TEBU;A
01139;PERTANIAN TANAMAN HORTIKULTURA SAYURAN LAINNYA;A
01140;PERKEBUNAN TEBU;A
01150;PERKEBUNAN TEMBAKAU;A
01160;PERTANIAN TANAMAN BERSERAT;A
01191;PERTANIAN TANAMAN RUMPUT-RUMPUTAN DAN TANAMAN PAKAN TERNAK;A
01192;PEMBIBITAN BIT (BUKAN BIT GULA) DAN BIBIT TANAMAN PAKAN TERNAK;A
01193;PERTANIAN TANAMAN BUNGA;A
01194;PERTANIAN PEMBIBITAN TANAMAN BUNGA;A
01210;PERTANIAN BUAH ANGGUR;A
01220;PERTANIAN BUAH-BUAHAN TROPIS;A
01230;PERTANIAN BUAH JERUK;A
01240;PERTANIAN BUAH APEL DAN BUAH BATU (POME AND STONE FRUITS);A
01251;PERTANIAN BUAH BERI;A
01252;PERTANIAN TANAMAN BUAH BIJI KACANG-KACANGAN;A
01253;PERTANIAN TANAMAN SAYURAN TAHUNAN;A
01259;PERTANIAN TANAMAN BUAH SEMAK LAINNYA;A
01261;PERKEBUNAN BUAH KELAPA;A
01262;PERKEBUNAN BUAH KELAPA SAWIT;A
01269;PERKEBUNAN TANAMAN BUAH OLEAGINOUS LAINNYA;A
