KANWIL;KPP;NAMA
010;000;Kanwil DJP Aceh
010;101;KPP Pratama Banda Aceh
010;102;KPP Pratama Lhokseumawe
010;103;KPP Pratama Meulaboh
010;104;KPP Pratama Bireuen
010;105;KPP Pratama Langsa
010;106;KPP Pratama Tapak Tuan
010;107;KPP Pratama Subulussalam
010;108;KPP Pratama Aceh Besar
020;000;Kanwil DJP Sumatera Utara I
020;111;KPP Pratama Medan Barat
020;112;KPP Pratama Medan Belawan
020;113;KPP Pratama Medan Timur
020;119;KPP Pratama Binjai
020;121;KPP Pratama Medan Polonia
020;122;KPP Pratama Medan Kota
020;123;KPP Madya Medan
020;124;KPP Pratama Medan Petisah
020;125;KPP Pratama Lubuk Pakam
020;129;KPP Madya Dua Medan
030;000;Kanwil DJP Sumatera Utara II
030;114;KPP Pratama Tebing Tinggi
030;115;KPP Pratama Kisaran
030;116;KPP Pratama Rantau Prapat
030;117;KPP Pratama Pematang Siantar
030;118;KPP Pratama Padang Sidempuan
030;126;KPP Pratama Sibolga
030;127;KPP Pratama Balige
030;128;KPP Pratama Kabanjahe
040;000;Kanwil DJP Riau
040;211;KPP Pratama Pekanbaru Senapelan
040;212;KPP Pratama Dumai
040;213;KPP Pratama Rengat
040;216;KPP Pratama Pekanbaru Tampan
040;218;KPP Madya Pekanbaru
040;219;KPP Pratama Bengkalis
040;221;KPP Pratama Bangkinang
040;222;KPP Pratama Pangkalan Kerinci
340;000;Kanwil DJP Kepulauan Riau
340;217;KPP Madya Batam
340;214;KPP Pratama Tanjung Pinang
340;215;KPP Pratama Batam Utara
340;225;KPP Pratama Batam Selatan
340;223;KPP Pratama Tanjung Balai Karimun
340;224;KPP Pratama Bintan
050;000;Kanwil DJP Sumatera Barat dan Jambi
050;201;KPP Pratama Padang Satu
050;202;KPP Pratama Bukittinggi
050;203;KPP Pratama Solok
050;204;KPP Pratama Payakumbuh
050;205;KPP Pratama Padang Dua
050;331;KPP Pratama Jambi Telanaipura
050;332;KPP Pratama Muara Bungo
050;333;KPP Pratama Bangko
050;334;KPP Pratama Kuala Tungkal
050;335;KPP Pratama Jambi Pelayangan
060;000;Kanwil DJP Sumatera Selatan dan Kepulauan Bangka Belitung
060;301;KPP Pratama Palembang Ilir Timur
060;302;KPP Pratama Baturaja
060;303;KPP Pratama Lubuk Linggau
060;304;KPP Pratama Pangkal Pinang
060;305;KPP Pratama Tanjung Pandan
060;306;KPP Pratama Palembang Seberang Ulu
060;307;KPP Pratama Palembang Ilir Barat
060;308;KPP Madya Palembang
060;309;KPP Pratama Lahat
060;312;KPP Pratama Kayu Agung
060;313;KPP Pratama Prabumulih
060;314;KPP Pratama Sekayu
060;315;KPP Pratama Bangka
070;000;Kanwil DJP Bengkulu dan Lampung
070;311;KPP Pratama Bengkulu Dua
070;321;KPP Pratama Metro
070;322;KPP Pratama Bandar Lampung Satu
070;323;KPP Pratama Bandar Lampung Dua
070;324;KPP Pratama Teluk Betung
070;325;KPP Pratama Natar
070;326;KPP Pratama Kotabumi
070;327;KPP Pratama Curup
070;328;KPP Pratama Bengkulu Satu
070;329;KPP Madya Bandar Lampung
080;000;Kanwil DJP Jakarta Pusat
080;021;KPP Pratama Jakarta Menteng Satu
080;022;KPP Pratama Jakarta Tanah Abang Satu
080;023;KPP Pratama Jakarta Senen
080;024;KPP Pratama Jakarta Cempaka Putih
080;025;KPP Pratama Jakarta Gambir Satu
080;026;KPP Pratama Jakarta Sawah Besar Satu
080;027;KPP Pratama Jakarta Kemayoran
080;028;KPP Pratama Jakarta Gambir Dua
080;029;KPP Pratama Jakarta Gambir Tiga
080;071;KPP Pratama Jakarta Menteng Dua
080;072;KPP Pratama Jakarta Tanah Abang Dua
080;073;KPP Madya Jakarta Pusat
080;074;KPP Pratama Jakarta Gambir Empat
080;075;KPP Pratama Jakarta Sawah Besar Dua
080;076;KPP Pratama Jakarta Menteng Tiga
080;077;KPP Pratama Jakarta Tanah Abang Tiga
080;078;KPP Madya Dua Jakarta Pusat
090;000;Kanwil DJP Jakarta Barat
090;031;KPP Pratama Jakarta Palmerah
090;032;KPP Pratama Jakarta Tamansari
090;033;KPP Pratama Jakarta Tambora
090;034;KPP Pratama Jakarta Cengkareng
090;035;KPP Pratama Jakarta Kebon Jeruk Satu
090;036;KPP Pratama Jakarta Grogol Petamburan
090;038;KPP Madya Jakarta Barat
090;039;KPP Pratama Jakarta Kebon Jeruk Dua
090;085;KPP Pratama Jakarta Kalideres
090;086;KPP Pratama Jakarta Kembangan
090;087;KPP Madya Dua Jakarta Barat
100;000;Kanwil DJP Jakarta Selatan I
100;011;KPP Pratama Jakarta Setiabudi Satu
100;014;KPP Pratama Jakarta Mampang Prapatan
100;015;KPP Pratama Jakarta Tebet
100;018;KPP Pratama Jakarta Setiabudi Dua
